Common.name,Scientific_name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Endo_ectotherm,Adult_mass_grams,Lifespan_years,Average_Telomere_Length_kb,Telomerase_activity,Tissue type for TA,Source for TA,Tissue type for TL,Tissue_coded,Methodology for TL,method,Source for TL,Source for Lifespan,Source for Mass,Captivity,Notes
Red-footed booby,Sula_sula,Eukaryota,Metazoa,Chordata,Aves,Pelecaniformes,Pelecani,Sula,sula,endo,1017,23,14.8,NA,NA,NA,Blood,A,TRF (non-denatured),D,Tricola et al. 2018'; Criscuolo et al. 2021,AnAge,AnAge,0,
Mangrove swallow,Tachycineta_albilinea,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Hirundinidae,Tachynicineta,albilinea,endo,15,10.6,9.04,NA,NA,NA,Blood,A,TRF (non-denatured),D,Foote et al. 2013,Criscuolo et al. 2021,Moore et al. 1999,0,
tree swallow ,Tachycineta_bicolor,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,endo,19,12.1,12.17,NA,Bone marrow,Haussmann et al. 2004,Blood,A,TRF (non-denatured),D,Haussmann et al. 2003; Foote et al. 2013; Belmaker 2016;  2019; Ouyang et al. 2016: Criscuolo et al. 2021,AnAge,AnAge,0,
Blackbird ,Turdus_merula,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Turdidae,Turdus,merula,endo,103.2,21.8,10.08,NA,NA,NA,Blood,A,TRF (non-denatured),D,Ibanez-Alamo et al. 2018,AnAge,AnAge,0,
thick-billed murre ,Uria_lomvia,Eukaryota,Metazoa,Chordata,Aves,Charadriiformes,Alcidae,Uria,lomvia,endo,964,29,7.7,NA,NA,NA,Blood,A,TRF (non-denatured),D,Young et al. 2013; Tricola et al. 2018,AnAge,AnAge,0,
Red-eyed vireo ,Vireo_olivaceus,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Vireonidae,Vireo,olivaceus,endo,17,10.2,10.85,NA,NA,NA,Blood,A,TRF (non-denatured),D,Foote et al. 2013,AnAge,AnAge,0,
Sand lizard,Lacerta_agilis,Eukaryota,Metazoa,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,agilis,ecto,20,10,18.6,NA,NA,NA,Blood,A,TRF (non-denatured),D,Olsson et al. 2010,Olsson et al. 1996,Olsson et al. 2010,0,TL calculated as the median value within the range of 17-20.2 kb
American Alligator,Alligator_mississippiensis,Eukaryota,Metazoa,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,ecto,150000,77,30.8,NA,NA,NA,Blood,A,TRF (non-denatured),D,Scott et al. 2006,AnAge,AnAge,0,
Southern platyfish,Xiphophorus_maculatus,Eukaryota,Metazoa,Chordata,Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,maculatus,ecto,1.8,5,3.85,NA,NA,NA,"Multiple somatic tissues (Gill, brains, eyes, liver)",E,TRF (unclear),C,Downs et al. 2012,Estimate based on related Xiphophorus spp (AnAge) and husbandry data,McKenzie et al. 1983,0,TL calculated as the median value within the range of 2.7-5 kb
Green swordtail,Xiphophorus_hellerii,Eukaryota,Metazoa,Chordata,Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,hellerii,ecto,3.7,5,4.25,NA,NA,NA,"Multiple somatic tissues (Gill, brains, eyes, liver)",E,TRF (unclear),C,Downs et al. 2012,AnAge,Meyer et al. 2006,0,TL calculated as the median value within the range of 3.5-5 kb
Zebrafish,Danio_rerio,Eukaryota,Metazoa,Chordata,Fish,Cypriniformes,Cyprinidae,Danio,rerio,ecto,0.88,5.5,16,1,Various tissues,Achelin et al. 2011,"Multiple somatic tissues (Liver, heart, gill, intestine, brain)",E,TRF (unclear),C,Anchelin et al. 2011,AnAge,Clark et al. 2018,0,
Pigtailed macaque,Macaca_nemestrina,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,nemestrina,endo,7913,37.6,14.9,NA,NA,NA,PBMCs,H,TRF (unclear),C,Shibata et al. 1999,AnAge,AnAge,0,
Cynomoglus monkey,Macaca_fascicularis,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,endo,6363,39,14.1,NA,NA,NA,PBMCs,H,TRF (unclear),C,Shibata et al. 1999,AnAge,AnAge,0,
Gorilla,Gorilla_gorilla,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Gorilla,gorilla,endo,139842,60.1,15.4,NA,NA,NA,PBMCs,H,TRF (unclear),C,Bhatnagar et al. 1995,AnAge,AnAge,0,
European freshwater turtles,Emys_orbicularis,Eukaryota,Metazoa,Chordata,Reptilia,Testudines,Testudinoidea,Emys,orbicularis,ecto,325,120,20,NA,NA,NA,Blood,A,TRF (unclear),C,Girondot and Garcia 1999,AnAge,Escoriza et al. 2021,0,
